"External ID","Account/Name","Amount","Description","Discount (%)","Invoice Reference/Invoice Reference","Invoice Reference/Invoice Number","Partner/Name","Product/Name","Quantity","Sequence","Source Document","Taxes/Tax Code","Unit Price","Unit of Measure/Unit of Measure","Invoice Reference/Old Name"
"__export__.account_invoice_line_12874","Sales - Products","129.54","[STRV01-003-0A] Striiv Band - Black","","SO080","INV/2014/0140","A Mobile Pte Ltd","Striiv Band - Black","2.0","10","SO080","SR","64.77","Unit(s)",""
"__export__.account_invoice_line_12875","Sales - Products","181.86","[STRV01-004-0A] Striiv Touch - Black","","SO080","INV/2014/0140","A Mobile Pte Ltd","Striiv Touch - Black","2.0","10","SO080","SR","90.93","Unit(s)",""
"__export__.account_invoice_line_12876","Sales - Products","129.54","[LTK7C3001P1] LifeTrak C300","","SO081","INV/2014/0141","A Mobile Pte Ltd","LifeTrak C300","2.0","10","SO081","SR","64.77","Unit(s)",""
"__export__.account_invoice_line_12877","Sales - Products","163.56","[LTK7C4102P3] LifeTrak C410","","SO081","INV/2014/0141","A Mobile Pte Ltd","LifeTrak C410","2.0","10","SO081","SR","81.78","Unit(s)",""
"__export__.account_invoice_line_12878","Sales - Products","129.54","[STRV01-003-0A] Striiv Band - Black","","SO081","INV/2014/0141","A Mobile Pte Ltd","Striiv Band - Black","2.0","10","SO081","SR","64.77","Unit(s)",""
"__export__.account_invoice_line_12879","Sales - Products","181.86","[STRV01-004-0A] Striiv Touch - Black","","SO081","INV/2014/0141","A Mobile Pte Ltd","Striiv Touch - Black","2.0","10","SO081","SR","90.93","Unit(s)",""
"__export__.account_invoice_line_12880","Sales - Products","","[LTKSS006P2] LifeTrak ComfortFit Band - BLACK/TANGERINE","","SO082","INV/2014/0142","1st Mobile Pte Ltd","LifeTrak ComfortFit Band - BLACK/TANGERINE","4.0","10","SO082","SR","","Unit(s)",""
"__export__.account_invoice_line_12881","Cost of Expenses - Products","384.81","[G Garmin Forerunner 620] Garmin Forerunner 620 - White/Orange","","1522","EXJ/2014/0091","AllBright Technology Pte Ltd","Garmin Forerunner 620","1.0","","PO00030","TX C","411.75","Unit(s)",""
"__export__.account_invoice_line_12882","Sales - JMD","7.0","Finis Leaf Green Silicone Cap with UWCSEA logo","","","SCNJ/2014/0002","UWCSEA - East","Corporate Gifts #1","1.0","","","SR","7.0","Unit(s)",""
"__export__.account_invoice_line_12883","Sales - Products","292.29","[STRV01-004-0A] Striiv Touch - Black","25.0","SO083","INV/2014/0143","Perfect Watch And Electronics","Striiv Touch - Black","3.0","10","SO083","SR C","139.0","Unit(s)",""
"__export__.account_invoice_line_12884","Sales - Products","129.91","[STRV01-004-0A] Striiv Touch - Black","","BN117","INV/2014/0144","VISA","Striiv Touch - Black","1.0","10","SO086","SR C","139.0","Unit(s)",""
"__export__.account_invoice_line_12885","Sales - Products","127.85","[1.05.042] Alignment Kickboard Yellow","","BN117","INV/2014/0144","VISA","Alignment Kickboard Yellow","4.0","10","SO086","SR C","34.2","Unit(s)",""
"__export__.account_invoice_line_12886","Sales - Products","49.63","[2.35.100.05] Positive Drive Fin M","","BN117","INV/2014/0144","VISA","Positive Drive Fin M","1.0","10","SO086","SR C","53.1","Unit(s)",""
"__export__.account_invoice_line_12887","Sales - Products","58.04","[1.05.002.112.50] Glide Snorkel Watermelon Pink Sr","","BN117","INV/2014/0144","VISA","Glide Snorkel Watermelon Pink Sr","1.0","10","SO086","SR C","62.1","Unit(s)",""
"__export__.account_invoice_line_12888","Sales - Products","21.03","[3.05.002.05] Instinct Sculling Paddle M","","BN117","INV/2014/0144","VISA","Instinct Sculling Paddle M","1.0","10","SO086","SR C","22.5","Unit(s)",""
"__export__.account_invoice_line_12889","Sales - Products","7.15","[3.25.006.001] Ear Plug Clear","","BN117","INV/2014/0144","VISA","Ear Plug Clear","1.0","10","SO086","SR C","7.65","Unit(s)",""
"__export__.account_invoice_line_12890","Sales - Products","83.27","[LTK7C3001P1] LifeTrak C300","","BN117","INV/2014/0144","VISA","LifeTrak C300","1.0","10","SO086","SR C","89.1","Unit(s)",""
